Rank,Track Name,Artist,Playcount,Listeners,URL
1,The Fate of Ophelia,Taylor Swift,15709367,773255,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia
2,Last Christmas,Wham!,14271773,1901774,https://www.last.fm/music/Wham%21/_/Last+Christmas
3,back to friends,sombr,18516626,1173800,https://www.last.fm/music/sombr/_/back+to+friends
4,No One Noticed,The Marías,27667172,1378784,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
5,Sienna,The Marías,14707278,970697,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna
6,End of Beginning,Djo,26908909,1659326,https://www.last.fm/music/Djo/_/End+of+Beginning
7,Creep,Radiohead,54912064,3883764,https://www.last.fm/music/Radiohead/_/Creep
8,WHERE IS MY HUSBAND!,RAYE,4981063,578483,https://www.last.fm/music/RAYE/_/WHERE+IS+MY+HUSBAND%21
9,"Good Luck, Babe!",Chappell Roan,54947111,1947927,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
10,Tears,Sabrina Carpenter,10758299,845074,https://www.last.fm/music/Sabrina+Carpenter/_/Tears
11,Manchild,Sabrina Carpenter,17514838,1023745,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
12,The Less I Know the Better,Tame Impala,43572481,2541155,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
13,All I Want for Christmas Is You,Mariah Carey,19104561,2116031,https://www.last.fm/music/Mariah+Carey/_/All+I+Want+for+Christmas+Is+You
14,Dracula,Tame Impala,4890644,653684,https://www.last.fm/music/Tame+Impala/_/Dracula
15,Let Down,Radiohead,35110557,2328821,https://www.last.fm/music/Radiohead/_/Let+Down
16,BIRDS OF A FEATHER,Billie Eilish,51291921,2078072,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
17,Gabriela,KATSEYE,13456815,800252,https://www.last.fm/music/KATSEYE/_/Gabriela
18,Rockin' Around the Christmas Tree,Brenda Lee,8185176,1594483,https://www.last.fm/music/Brenda+Lee/_/Rockin%27+Around+the+Christmas+Tree
19,505,Arctic Monkeys,53327059,2842423,https://www.last.fm/music/Arctic+Monkeys/_/505
20,Fame Is a Gun,Addison Rae,11693220,681394,https://www.last.fm/music/Addison+Rae/_/Fame+Is+a+Gun
21,Sweater Weather,The Neighbourhood,46187865,2791656,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
22,So Easy (To Fall In Love),Olivia Dean,3158628,471691,https://www.last.fm/music/Olivia+Dean/_/So+Easy+(To+Fall+In+Love)
23,Man I Need,Olivia Dean,4425603,528666,https://www.last.fm/music/Olivia+Dean/_/Man+I+Need
24,Golden,HUNTR/X,13587225,855368,https://www.last.fm/music/HUNTR%2FX/_/Golden
25,No Surprises,Radiohead,51019497,3220224,https://www.last.fm/music/Radiohead/_/No+Surprises
26,Lovers Rock,TV Girl,46039363,2016426,https://www.last.fm/music/TV+Girl/_/Lovers+Rock
27,Gnarly,KATSEYE,17138202,809739,https://www.last.fm/music/KATSEYE/_/Gnarly
28,Every Breath You Take,The Police,23181617,2609422,https://www.last.fm/music/The+Police/_/Every+Breath+You+Take
29,Timeless (Feat Playboi Carti),The Weeknd,10932394,941695,https://www.last.fm/music/The+Weeknd/_/Timeless+(Feat+Playboi+Carti)
30,When Did You Get Hot?,Sabrina Carpenter,8589197,686131,https://www.last.fm/music/Sabrina+Carpenter/_/When+Did+You+Get+Hot%3F
31,Feel Good Inc.,Gorillaz,36316888,3072409,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
32,The Subway,Chappell Roan,13460982,835781,https://www.last.fm/music/Chappell+Roan/_/The+Subway
33,Sports car,Tate McRae,18073901,798786,https://www.last.fm/music/Tate+McRae/_/Sports+car
34,luther (with SZA),Kendrick Lamar,24804914,1405014,https://www.last.fm/music/Kendrick+Lamar/_/luther+(with+SZA)
35,No Pole,Don Toliver,14325491,885675,https://www.last.fm/music/Don+Toliver/_/No+Pole
36,House Tour,Sabrina Carpenter,7820182,578721,https://www.last.fm/music/Sabrina+Carpenter/_/House+Tour
37,Iris,The Goo Goo Dolls,27459283,2130623,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris
38,Santa Tell Me,Ariana Grande,9394280,1276382,https://www.last.fm/music/Ariana+Grande/_/Santa+Tell+Me
39,All I Need,Radiohead,37206140,2313522,https://www.last.fm/music/Radiohead/_/All+I+Need
40,undressed,sombr,12392331,951586,https://www.last.fm/music/sombr/_/undressed
41,Opalite,Taylor Swift,9192425,570284,https://www.last.fm/music/Taylor+Swift/_/Opalite
42,Phantom,EsDeeKid,4017918,304322,https://www.last.fm/music/EsDeeKid/_/Phantom
43,"Lover, You Should've Come Over",Jeff Buckley,26439905,1453790,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over"
44,See You Again (feat. Kali Uchis),"Tyler, The Creator",53041556,2414552,"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)"
45,Sparks,Coldplay,34263599,2403909,https://www.last.fm/music/Coldplay/_/Sparks
46,NOT CUTE ANYMORE,ILLIT,1639372,150599,https://www.last.fm/music/ILLIT/_/NOT+CUTE+ANYMORE
47,WILDFLOWER,Billie Eilish,32058983,1489335,https://www.last.fm/music/Billie+Eilish/_/WILDFLOWER
48,Running Up That Hill (A Deal with God),Kate Bush,18145436,1732810,https://www.last.fm/music/Kate+Bush/_/Running+Up+That+Hill+(A+Deal+with+God)
49,Nobody’s Son,Sabrina Carpenter,7674926,585220,https://www.last.fm/music/Sabrina+Carpenter/_/Nobody%E2%80%99s+Son
50,Dreams - 2004 Remaster,Fleetwood Mac,24981149,1816203,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster
51,Diet Pepsi,Addison Rae,20654688,974181,https://www.last.fm/music/Addison+Rae/_/Diet+Pepsi
52,SUGAR ON MY TONGUE,"Tyler, The Creator",9773679,1079938,"https://www.last.fm/music/Tyler,+The+Creator/_/SUGAR+ON+MY+TONGUE"
53,4 Raws,EsDeeKid,3502386,290791,https://www.last.fm/music/EsDeeKid/_/4+Raws
54,Espresso,Sabrina Carpenter,51542597,2030719,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso
55,Juno,Sabrina Carpenter,22841208,1050979,https://www.last.fm/music/Sabrina+Carpenter/_/Juno
56,Apocalypse,Cigarettes After Sex,38581065,1953493,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse
57,Jingle Bell Rock,Bobby Helms,7326367,1574262,https://www.last.fm/music/Bobby+Helms/_/Jingle+Bell+Rock
58,Duvet,bôa,37101017,1809442,https://www.last.fm/music/b%C3%B4a/_/Duvet
59,Abracadabra,Lady Gaga,23354484,1053992,https://www.last.fm/music/Lady+Gaga/_/Abracadabra
60,SPAGHETTI,LE SSERAFIM,24164534,295844,https://www.last.fm/music/LE+SSERAFIM/_/SPAGHETTI
61,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,27506780,1751851,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out+-+2011+Remaster
62,From the Start,Laufey,24379545,1356396,https://www.last.fm/music/Laufey/_/From+the+Start
63,Borderline,Tame Impala,26260925,1782649,https://www.last.fm/music/Tame+Impala/_/Borderline
64,Pink + White,Frank Ocean,55756944,2308682,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White
65,Like Him (feat. Lola Young),"Tyler, The Creator",19617305,1311335,"https://www.last.fm/music/Tyler,+The+Creator/_/Like+Him+(feat.+Lola+Young)"
66,Von dutch,Charli xcx,28573723,1332532,https://www.last.fm/music/Charli+xcx/_/Von+dutch
67,Taste,Sabrina Carpenter,28658448,1436943,https://www.last.fm/music/Sabrina+Carpenter/_/Taste
68,The Chain - 2004 Remaster,Fleetwood Mac,19784263,1610198,https://www.last.fm/music/Fleetwood+Mac/_/The+Chain+-+2004+Remaster
69,party 4 u,Charli xcx,17487456,1075296,https://www.last.fm/music/Charli+xcx/_/party+4+u
70,LV Sandals,EsDeeKid,4556123,316443,https://www.last.fm/music/EsDeeKid/_/LV+Sandals
71,Love Me Not,Ravyn Lenae,14267385,1025595,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not
72,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,5293248,1217820,https://www.last.fm/music/Dean+Martin/_/Let+It+Snow%21+Let+It+Snow%21+Let+It+Snow%21
73,Berghain,ROSALÍA,4170576,422124,https://www.last.fm/music/ROSAL%C3%8DA/_/Berghain
74,we can't be friends (wait for your love),Ariana Grande,32015736,1294939,https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love)
75,LES,Childish Gambino,23164923,1311436,https://www.last.fm/music/Childish+Gambino/_/LES
76,Mr. Brightside,The Killers,47097910,3488972,https://www.last.fm/music/The+Killers/_/Mr.+Brightside
77,Flashing Lights,Kanye West,33663775,2048024,https://www.last.fm/music/Kanye+West/_/Flashing+Lights
78,"One of the Girls (with JENNIE, Lily Rose Depp)",The Weeknd,24784901,1328161,"https://www.last.fm/music/The+Weeknd/_/One+of+the+Girls+(with+JENNIE,+Lily+Rose+Depp)"
79,When the Sun Hits,Slowdive,23678410,1418640,https://www.last.fm/music/Slowdive/_/When+the+Sun+Hits
80,the perfect pair,beabadoobee,27169116,1361799,https://www.last.fm/music/beabadoobee/_/the+perfect+pair
81,Juna,Clairo,19361801,1153655,https://www.last.fm/music/Clairo/_/Juna
82,TIT FOR TAT,Tate McRae,5017838,386497,https://www.last.fm/music/Tate+McRae/_/TIT+FOR+TAT
83,Fade Into You,Mazzy Star,30581626,2018299,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You
84,Busy Woman,Sabrina Carpenter,13186309,780034,https://www.last.fm/music/Sabrina+Carpenter/_/Busy+Woman
85,Headlock,Imogen Heap,22965997,1449050,https://www.last.fm/music/Imogen+Heap/_/Headlock
86,Jigsaw Falling Into Place,Radiohead,37666679,2212765,https://www.last.fm/music/Radiohead/_/Jigsaw+Falling+Into+Place
87,Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,22600497,1531544,https://www.last.fm/music/The+Smiths/_/Heaven+Knows+I%27m+Miserable+Now+-+2011+Remaster
88,12 to 12,sombr,5645518,571569,https://www.last.fm/music/sombr/_/12+to+12
89,CHANEL,Tyla,1444996,192368,https://www.last.fm/music/Tyla/_/CHANEL
90,Linger,The Cranberries,29876708,2298013,https://www.last.fm/music/The+Cranberries/_/Linger
91,Heavy,The Marías,13634864,884698,https://www.last.fm/music/The+Mar%C3%ADas/_/Heavy
92,Underneath the Tree,Kelly Clarkson,5105533,942280,https://www.last.fm/music/Kelly+Clarkson/_/Underneath+the+Tree
93,Back to the Old House - 2011 Remaster,The Smiths,19919010,1291147,https://www.last.fm/music/The+Smiths/_/Back+to+the+Old+House+-+2011+Remaster
94,SLOW DANCING IN THE DARK,Joji,34053443,1712540,https://www.last.fm/music/Joji/_/SLOW+DANCING+IN+THE+DARK
95,Bed Chem,Sabrina Carpenter,23659965,1173336,https://www.last.fm/music/Sabrina+Carpenter/_/Bed+Chem
96,Midnight Sun,Zara Larsson,4685512,317140,https://www.last.fm/music/Zara+Larsson/_/Midnight+Sun
97,Sailor Song,Gigi Perez,24074044,1125924,https://www.last.fm/music/Gigi+Perez/_/Sailor+Song
98,like JENNIE,Jennie,15727822,663301,https://www.last.fm/music/Jennie/_/like+JENNIE
99,ARE WE STILL FRIENDS?,"Tyler, The Creator",29435864,1714317,"https://www.last.fm/music/Tyler,+The+Creator/_/ARE+WE+STILL+FRIENDS%3F"
100,Everybody Wants to Rule the World,Tears for Fears,29265976,2632158,https://www.last.fm/music/Tears+for+Fears/_/Everybody+Wants+to+Rule+the+World
